Location,Longitude,Latitude,Elevation
Machrihanish,-5.697,55.441,10
High_Wycombe,-0.807,51.682,204
Camborne,-5.328,50.218,NA
Dun_Fell,-2.451,54.684,847
Plymouth,-4.121,50.355,50
Durham,-1.586,54.768,NA
London,-0.131,51.505,5
Porthmadog,-4.158,52.915,NA
Leconfield,-0.442,53.875,7
Kinross,-3.413,56.214,NA
Morecambe,-2.86,54.076,NA
Lossiemouth,-3.323,57.711,7
Marham,0.566,52.651,21
Whitby,-0.626,54.481,41
Lerwick,-1.185,60.139,82
Yeovilton,-2.643,51.006,NA
Sheffield,-1.491,53.381,131
Coventry,-1.536,52.424,NA
Stornoway,-6.319,58.213,NA
Lyneham,-1.992,51.503,145
